ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,LATITUDE,LONGITUDE
T20230008639,2023-04-05,19:30:00,-36.678679,144.367636
T20230008053,2023-04-05,08:15:00,-37.790809,144.985675
T20230008005,2023-04-05,06:50:00,-37.718741,145.435091
T20230008018,2023-04-05,09:50:00,-37.733991,144.965343
T20230008174,2023-04-05,22:15:00,-38.120991,145.306341
T20230008016,2023-04-05,09:13:00,-37.969569,145.186632
T20230022235,2023-04-05,17:20:00,-37.785093,144.834024
T20230008226,2023-04-05,21:00:00,-37.975758,145.239057
T20230008229,2023-04-05,08:50:00,-37.368897,144.038881
T20230011052,2023-04-05,08:30:00,-37.580694,143.827164
T20230008065,2023-04-05,17:13:00,-37.726685,144.796437
T20230015357,2023-04-05,13:30:00,-37.265804,143.386183
T20230008113,2023-04-05,20:15:00,-36.173513,141.890724
T20230010322,2023-04-05,13:00:00,-37.651232,145.088015
T20230009992,2023-04-05,16:00:00,-37.860969,144.685929
T20230008019,2023-04-05,08:00:00,-38.065371,145.298882
T20230008115,2023-04-05,14:05:00,-37.836094,144.996313
T20230008707,2023-04-05,17:20:00,-36.183441,144.728504
T20230008067,2023-04-05,15:20:00,-37.886851,145.021574
T20230008052,2023-04-05,14:10:00,-38.207446,144.330375
T20230008050,2023-04-05,07:45:00,-38.068638,145.267961
T20230008049,2023-04-05,13:29:00,-37.947695,145.172683
T20230008047,2023-04-05,14:16:00,-37.29399,144.932612
T20230008060,2023-04-05,14:05:00,-38.09228,145.431233
T20230008201,2023-04-05,08:50:00,-37.805977,144.955874
T20230008129,2023-04-05,17:40:00,-37.079773,145.193542
T20230008033,2023-04-05,12:14:00,-37.972482,145.063219
T20230008026,2023-04-05,11:50:00,-38.166441,145.94019
T20230008025,2023-04-05,09:19:00,-37.592461,145.100704
T20230016625,2023-04-05,13:35:00,-38.071946,145.485052
T20230008561,2023-04-05,15:35:00,-37.980751,145.184528
T20230008021,2023-04-05,08:00:00,-37.692345,144.866009
T20230008103,2023-04-05,17:45:00,-36.398802,144.982357
T20230008195,2023-04-05,23:20:00,-37.72103,144.963251
T20230008097,2023-04-06,06:45:00,-37.807776,145.11669
T20230008099,2023-04-06,06:00:00,-37.865731,147.492189
T20230010480,2023-04-06,17:25:00,-37.864496,144.602962
T20230010480,2023-04-06,17:25:00,-37.864496,144.602962
T20230008177,2023-04-06,20:35:00,-36.762291,144.28336
T20230008171,2023-04-06,17:37:00,-37.687124,145.002973
T20230008145,2023-04-06,16:00:00,-37.683724,144.594865
T20230008179,2023-04-06,19:35:00,-38.303332,142.695875
T20230008181,2023-04-06,18:40:00,-37.728811,144.866361
T20230008183,2023-04-06,16:35:00,-38.052767,145.290663
T20230008126,2023-04-06,07:43:00,-37.825016,144.992038
T20230008127,2023-04-06,11:30:00,-37.917881,145.402743
T20230008510,2023-04-06,07:30:00,-37.876909,145.211961
T20230008149,2023-04-06,16:37:00,-38.050001,145.298304
T20230008128,2023-04-06,08:30:00,-38.185367,144.470488
T20230008192,2023-04-06,19:15:00,-36.304101,146.635129
T20230008193,2023-04-06,20:50:00,-37.852724,144.731271
T20230008193,2023-04-06,20:50:00,-37.852724,144.731271
T20230008119,2023-04-06,09:40:00,-37.648405,144.991185
T20230008142,2023-04-06,15:00:00,-36.19905,144.981029
T20230008530,2023-04-06,07:35:00,-37.893706,145.137477
T20230008220,2023-04-06,17:00:00,-37.767049,144.962126
T20230008141,2023-04-06,11:44:00,-37.63259,144.88186
T20230008138,2023-04-06,13:14:00,-37.75902,145.3509
T20230008955,2023-04-06,19:30:00,-38.18363,145.478787
T20230008120,2023-04-06,08:55:00,-37.723667,145.112947
T20230013535,2023-04-06,03:20:00,-37.634012,144.9938
T20230008123,2023-04-06,06:54:00,-36.776086,144.254164
T20230008218,2023-04-06,13:25:00,-37.819676,145.123511
T20230008187,2023-04-06,16:45:00,-37.530792,144.968236
T20230008153,2023-04-06,17:25:00,-37.877266,145.047926
T20230008154,2023-04-06,17:39:00,-37.198145,143.099978
T20230008155,2023-04-06,17:00:00,-38.068478,145.615292
T20230008286,2023-04-06,06:00:00,-37.846513,144.947379
T20230014505,2023-04-06,23:14:00,-37.49382,144.604585
T20230008203,2023-04-06,07:30:00,-37.80114,144.906081
T20230008161,2023-04-06,18:50:00,-37.787524,145.12411
T20230008162,2023-04-06,14:50:00,-37.799199,144.986575
T20230008143,2023-04-06,13:41:00,-37.688362,144.983182
T20230008163,2023-04-06,18:35:00,-38.099011,144.3565
T20230008164,2023-04-06,13:09:00,-38.216388,144.28963
T20230008167,2023-04-06,20:24:00,-37.782144,145.123797
T20230008169,2023-04-06,19:03:00,-37.723795,144.748804
T20230008170,2023-04-06,20:00:00,-36.749817,144.282979
T20230009300,2023-04-06,09:00:00,-37.83596,144.665259
T20230008102,2023-04-06,06:11:00,-37.554967,143.881027
T20230008706,2023-04-06,07:30:00,-37.858591,144.974879
T20230008151,2023-04-06,16:10:00,-38.001376,145.232366
T20230008133,2023-04-06,12:57:00,-37.763784,144.702003
T20230008107,2023-04-06,08:40:00,-38.111596,145.270425
T20230008116,2023-04-06,10:46:00,-37.79641,145.179091
T20230009462,2023-04-06,14:55:00,-37.825724,145.065037
T20230009826,2023-04-06,20:00:00,-37.962169,145.150361
T20230008611,2023-04-06,16:24:00,-37.077781,144.24811
T20230008124,2023-04-06,08:11:00,-38.248394,144.330219
T20230008105,2023-04-06,08:35:00,-37.765655,144.999399
T20230008260,2023-04-07,19:14:00,-38.164667,144.350265
T20230012026,2023-04-07,22:20:00,-37.609317,145.175388
T20230008291,2023-04-07,16:00:00,-38.357182,144.899902
T20230008270,2023-04-07,23:40:00,-37.165022,145.515456
T20230008197,2023-04-07,01:10:00,-37.693576,144.756499
T20230008266,2023-04-07,22:34:00,-37.810365,144.676544
T20230008256,2023-04-07,18:25:00,-38.018648,144.412287
T20230008198,2023-04-07,02:30:00,-38.35029,141.596909
T20240001799,2023-04-07,02:58:00,-37.837122,144.719513
T20240001901,2023-04-07,10:30:00,-37.010204,144.065002
T20230008215,2023-04-07,10:36:00,-36.365444,146.322602
T20230008223,2023-04-07,11:35:00,-36.7653,144.273072
T20230008227,2023-04-07,12:39:00,-37.674753,145.027015
T20230008228,2023-04-07,12:35:00,-36.151985,144.730842
T20230008457,2023-04-07,14:00:00,-35.849634,145.564677
T20230008951,2023-04-07,09:05:00,-38.062291,142.618214
T20230008456,2023-04-07,10:40:00,-38.146126,145.424506
T20230009691,2023-04-07,15:00:00,-37.95649,146.788517
