datetime_AEST,datetime_local,location_id,location_name,BPM2.5
2021-01-05 06:00:00,2021-01-05 07:00:00,10239,Melbourne CBD,2.483
2021-01-05 07:00:00,2021-01-05 08:00:00,10239,Melbourne CBD,1.267
2021-01-05 08:00:00,2021-01-05 09:00:00,10239,Melbourne CBD,-0.733
2021-01-05 09:00:00,2021-01-05 10:00:00,10239,Melbourne CBD,5.683
2021-01-05 10:00:00,2021-01-05 11:00:00,10239,Melbourne CBD,2.35
2021-01-05 11:00:00,2021-01-05 12:00:00,10239,Melbourne CBD,7.317
2021-01-05 12:00:00,2021-01-05 13:00:00,10239,Melbourne CBD,5.9
2021-01-05 13:00:00,2021-01-05 14:00:00,10239,Melbourne CBD,
2021-01-05 14:00:00,2021-01-05 15:00:00,10239,Melbourne CBD,
2021-01-05 15:00:00,2021-01-05 16:00:00,10239,Melbourne CBD,9.95
2021-01-05 16:00:00,2021-01-05 17:00:00,10239,Melbourne CBD,4.767
2021-01-05 17:00:00,2021-01-05 18:00:00,10239,Melbourne CBD,1.567
2021-01-05 18:00:00,2021-01-05 19:00:00,10239,Melbourne CBD,4.233
2021-01-05 19:00:00,2021-01-05 20:00:00,10239,Melbourne CBD,1.717
2021-01-05 20:00:00,2021-01-05 21:00:00,10239,Melbourne CBD,-2.967
2021-01-05 21:00:00,2021-01-05 22:00:00,10239,Melbourne CBD,7.783
2021-01-05 22:00:00,2021-01-05 23:00:00,10239,Melbourne CBD,0.817
2021-01-05 23:00:00,2021-01-06 00:00:00,10239,Melbourne CBD,3.567
2021-01-06 00:00:00,2021-01-06 01:00:00,10239,Melbourne CBD,0.833
2021-01-06 01:00:00,2021-01-06 02:00:00,10239,Melbourne CBD,5.333
2021-01-06 02:00:00,2021-01-06 03:00:00,10239,Melbourne CBD,3.95
2021-01-06 03:00:00,2021-01-06 04:00:00,10239,Melbourne CBD,2.283
2021-01-06 04:00:00,2021-01-06 05:00:00,10239,Melbourne CBD,-4.145
2021-01-06 05:00:00,2021-01-06 06:00:00,10239,Melbourne CBD,-1.917
2021-01-06 06:00:00,2021-01-06 07:00:00,10239,Melbourne CBD,-0.667
2021-01-06 07:00:00,2021-01-06 08:00:00,10239,Melbourne CBD,2.917
2021-01-06 08:00:00,2021-01-06 09:00:00,10239,Melbourne CBD,6.85
2021-01-06 09:00:00,2021-01-06 10:00:00,10239,Melbourne CBD,7.1
2021-01-06 10:00:00,2021-01-06 11:00:00,10239,Melbourne CBD,4.733
2021-01-06 11:00:00,2021-01-06 12:00:00,10239,Melbourne CBD,5.317
2021-01-06 12:00:00,2021-01-06 13:00:00,10239,Melbourne CBD,2.75
2021-01-06 13:00:00,2021-01-06 14:00:00,10239,Melbourne CBD,3.4
2021-01-06 14:00:00,2021-01-06 15:00:00,10239,Melbourne CBD,-1.717
2021-01-06 15:00:00,2021-01-06 16:00:00,10239,Melbourne CBD,4.533
2021-01-06 16:00:00,2021-01-06 17:00:00,10239,Melbourne CBD,3.383
