datetime_AEST,datetime_local,location_id,location_name,BPM2.5,CO,DBT,NO2,O3,PM10,Sigma05,SWD,SWS,VWD,VWS
2021-01-04 04:00:00,2021-01-04 05:00:00,10003,Footscray,4.083,0.078,16.838,1.863,13.258,3.616,14.883,193.713,4.816,193.693,4.652
2021-01-04 05:00:00,2021-01-04 06:00:00,10003,Footscray,1.998,0.077,16.759,3.059,11.993,2.256,14.219,194.502,5.047,194.002,4.891
2021-01-04 06:00:00,2021-01-04 07:00:00,10003,Footscray,1.774,0.081,16.845,2.991,11.291,5.53,13.421,192.752,5.298,192.698,5.159
2021-01-04 07:00:00,2021-01-04 08:00:00,10003,Footscray,1.512,0.101,16.567,3.235,11.094,7.298,15.007,185.753,4.334,185.458,4.19
2021-01-04 08:00:00,2021-01-04 09:00:00,10003,Footscray,-0.484,0.103,16.489,3.236,10.787,3.902,15.681,183.823,4.429,183.331,4.267
2021-01-04 09:00:00,2021-01-04 10:00:00,10003,Footscray,-2.67,0.099,16.753,3.089,11.547,3.64,14.776,187.165,4.646,186.628,4.488
2021-01-04 10:00:00,2021-01-04 11:00:00,10003,Footscray,0.044,0.09,17.26,2.466,12.585,1.269,15.896,183.931,5.529,183.654,5.322
2021-01-04 11:00:00,2021-01-04 12:00:00,10003,Footscray,1.684,0.091,18.112,2.183,13.113,5.444,14.892,187.884,5.734,187.734,5.536
2021-01-04 12:00:00,2021-01-04 13:00:00,10003,Footscray,1.211,0.095,17.395,2.522,12.841,9.598,15.709,184.655,5.003,184.039,4.807
2021-01-04 13:00:00,2021-01-04 14:00:00,10003,Footscray,1.564,0.094,17.693,2.525,13.299,4.228,14.913,189.083,5.667,188.853,5.467
2021-01-04 14:00:00,2021-01-04 15:00:00,10003,Footscray,2.76,0.096,17.726,2.199,12.347,11.475,15.561,188.905,5.165,189.36,4.976
2021-01-04 15:00:00,2021-01-04 16:00:00,10003,Footscray,4.352,0.092,17.233,2.942,10.99,6.268,14.267,192.757,5.277,193.102,5.117
2021-01-04 16:00:00,2021-01-04 17:00:00,10003,Footscray,3.247,0.084,17.791,2.456,12.256,9.098,13.952,193.665,5.633,193.867,5.481
2021-01-04 17:00:00,2021-01-04 18:00:00,10003,Footscray,1.225,0.079,18.207,2.205,12.635,13.266,13.724,195.538,5.607,195.636,5.45
2021-01-04 18:00:00,2021-01-04 19:00:00,10003,Footscray,1.13,0.078,17.454,2.644,11.608,17.827,13.113,194.941,5.191,195.213,5.052
2021-01-04 19:00:00,2021-01-04 20:00:00,10003,Footscray,4.434,0.073,16.542,3.907,9.694,22.577,14.236,195.564,4.87,195.413,4.724
2021-01-04 20:00:00,2021-01-04 21:00:00,10003,Footscray,5.612,0.072,16.267,4.822,8.924,8.523,14.746,191.983,4.351,192.71,4.175
2021-01-04 21:00:00,2021-01-04 22:00:00,10003,Footscray,,-0.015,16.481,,10.956,,15.685,186.167,4.305,185.997,4.151
2021-01-04 22:00:00,2021-01-04 23:00:00,10003,Footscray,,-0.005,16.38,,12.894,5.31,14.933,184.984,4.489,184.808,4.347
2021-01-04 23:00:00,2021-01-05 00:00:00,10003,Footscray,,0.043,16.642,,11.684,9.811,16.177,185.106,3.85,184.535,3.701
2021-01-05 00:00:00,2021-01-05 01:00:00,10003,Footscray,,,16.608,,,7.096,14.694,184.431,3.946,183.81,3.824
2021-01-05 01:00:00,2021-01-05 02:00:00,10003,Footscray,,0.091,16.771,2.117,11.26,5.664,14.884,182.322,3.881,181.979,3.753
