datetime_AEST,datetime_local,location_id,location_name,SBPM25
2021-01-09 05:00:00,2021-01-09 06:00:00,10425,Campbellfield,5.312
2021-01-09 06:00:00,2021-01-09 07:00:00,10425,Campbellfield,7.889
2021-01-09 07:00:00,2021-01-09 08:00:00,10425,Campbellfield,3.669
2021-01-09 08:00:00,2021-01-09 09:00:00,10425,Campbellfield,9.286
2021-01-09 09:00:00,2021-01-09 10:00:00,10425,Campbellfield,7.921
2021-01-09 10:00:00,2021-01-09 11:00:00,10425,Campbellfield,10.314
2021-01-09 11:00:00,2021-01-09 12:00:00,10425,Campbellfield,11.847
2021-01-09 12:00:00,2021-01-09 13:00:00,10425,Campbellfield,14.193
2021-01-09 13:00:00,2021-01-09 14:00:00,10425,Campbellfield,5.732
2021-01-09 14:00:00,2021-01-09 15:00:00,10425,Campbellfield,1.463
2021-01-09 15:00:00,2021-01-09 16:00:00,10425,Campbellfield,6.835
2021-01-09 16:00:00,2021-01-09 17:00:00,10425,Campbellfield,4.911
2021-01-09 17:00:00,2021-01-09 18:00:00,10425,Campbellfield,-1.892
2021-01-09 18:00:00,2021-01-09 19:00:00,10425,Campbellfield,-0.554
2021-01-09 19:00:00,2021-01-09 20:00:00,10425,Campbellfield,6.237
2021-01-09 20:00:00,2021-01-09 21:00:00,10425,Campbellfield,4.345
2021-01-09 21:00:00,2021-01-09 22:00:00,10425,Campbellfield,5.405
2021-01-09 22:00:00,2021-01-09 23:00:00,10425,Campbellfield,6.028
2021-01-09 23:00:00,2021-01-10 00:00:00,10425,Campbellfield,1.932
2021-01-10 00:00:00,2021-01-10 01:00:00,10425,Campbellfield,4.282
2021-01-10 01:00:00,2021-01-10 02:00:00,10425,Campbellfield,4.277
2021-01-10 02:00:00,2021-01-10 03:00:00,10425,Campbellfield,3.001
2021-01-10 03:00:00,2021-01-10 04:00:00,10425,Campbellfield,7.482
2021-01-10 04:00:00,2021-01-10 05:00:00,10425,Campbellfield,6.828
2021-01-10 05:00:00,2021-01-10 06:00:00,10425,Campbellfield,8.548
2021-01-10 06:00:00,2021-01-10 07:00:00,10425,Campbellfield,4.391
2021-01-10 07:00:00,2021-01-10 08:00:00,10425,Campbellfield,9.445
2021-01-10 08:00:00,2021-01-10 09:00:00,10425,Campbellfield,12.638
2021-01-10 09:00:00,2021-01-10 10:00:00,10425,Campbellfield,10.944
2021-01-10 10:00:00,2021-01-10 11:00:00,10425,Campbellfield,21.289
2021-01-10 11:00:00,2021-01-10 12:00:00,10425,Campbellfield,25.895
2021-01-10 12:00:00,2021-01-10 13:00:00,10425,Campbellfield,26.08
2021-01-10 13:00:00,2021-01-10 14:00:00,10425,Campbellfield,4.35
2021-01-10 14:00:00,2021-01-10 15:00:00,10425,Campbellfield,11.706
2021-01-10 15:00:00,2021-01-10 16:00:00,10425,Campbellfield,12.144
2021-01-10 16:00:00,2021-01-10 17:00:00,10425,Campbellfield,6.386
2021-01-10 17:00:00,2021-01-10 18:00:00,10425,Campbellfield,2.278
2021-01-10 18:00:00,2021-01-10 19:00:00,10425,Campbellfield,0.795
2021-01-10 19:00:00,2021-01-10 20:00:00,10425,Campbellfield,4.737
2021-01-10 20:00:00,2021-01-10 21:00:00,10425,Campbellfield,4.712
